覆	覆 复	除「覆蓋」以外多簡化作「复」。	覆蓋 傾覆 答复 批复 回复
藉	藉 借	讀jí時或用於慰藉、襯墊義時不簡化作「借」，如「狼藉（jí）」「枕藉（jiè）」。	
乾	干 乾	讀qián時不簡化作「干」，如「乾坤」「乾隆」。	
瞭	瞭 了	讀liào時不簡化作「了」，如「瞭望」「瞭哨」。	
鍊	炼 链 𫔀	「鍊」可表「煉」「鏈」之意。「𫔀」為非規範的類推簡化字。	冶炼 链条
於	于 於	可用於姓氏人名。	樊於期
鉅	巨 钜	可用於姓氏人名、地名，但須類推簡化作「钜」。	
衹	只 祇	讀作zhǐ時作為「只」的本字，表「但、僅、正好」。表示僧尼衣物時讀qí。	衹衼
祇	祇 只	表示地神時讀qí。常被混用為「衹」（只）的異體字讀zhǐ。	神祇
麼	么 麽	讀mó時不簡化作「么」，如「幺麽小丑」。	
椏	丫 桠	可用於姓氏人名、地名和科學技術術語，但須類推簡化作「桠」，如「五椏果科」。	
昇	升 昇	可用於姓氏人名，如「畢昇」。	
陞	升 陞	可用於姓氏人名、地名。	
讎	仇 雠	用於「校讎」「讎定」「仇讎」等，但須類推簡化作「雠」。其他意義用「仇」。	
甯	宁 甯	可用於姓氏人名。	
麴	曲 麹	可用於姓氏人名，但須類推簡化作「麹」。	
麯	曲 𱋐		
夥	伙 夥	作「多」解時不簡化作「伙」。	
剋	克 剋	表示訓斥、打人時讀kēi，不簡化作「克」。	
甦	苏 甦	可用於姓氏人名。	
氾	泛 氾	可用於姓氏人名，讀fán。讀fàn時用「泛」。	
訢	欣 䜣	可用於姓氏人名，但須類推簡化作「䜣」。	
徵	征 徵	用於表示「宮商角徵羽」五音之一時讀zhǐ，不簡化作「征」。	
線	线 缐	可用於姓氏人名，但須類推簡化作「缐」。	
釐	厘 釐	可用於姓氏人名，讀xī。讀lí時用「厘」。	
鍾	钟 锺	用於姓氏人名時可簡化作「锺」。	
脩	修 脩	用於表示乾肉，如「束脩」。其他意義用「修」。	
祕	秘 祕	可用於姓氏人名。	
頫	俯 𫖯	可用於姓氏人名，但須類推簡化作「𫖯」，如「趙孟頫」。	
蒐	搜 蒐	用於表示草名和春天打獵。其他意義用「搜」。	
阪	坂 阪	可用於地名，如「大阪」。	
吒	咤 吒	可用於姓氏人名，讀zhā，如「哪吒」。讀zhà時用「咤」。	
噁	恶 𫫇	「𫫇」爲化學名詞用字，如「二𫫇英」。	可恶 恶心 二𫫇英
蘋	苹 𬞟	「𬞟」爲一種蕨類植物，生於淺水，四片小葉似「田」字，亦稱「田字草」，音pin2，粵音pan4。蘋果之「苹」音ping2，粵音ping4。	苹果 白𬞟
麪	面 𮮄		
麫	面		
麵	面 麺		
稆	稆		
